iter	Passed	Remaining
0	138	138199
1	139	69760
2	141	46962
3	142	35545
4	144	28762
5	145	24177
6	147	20948
7	149	18488
8	150	16611
9	152	15112
10	154	13883
11	155	12842
12	157	11959
13	158	11197
14	160	10558
15	163	10048
16	165	9546
17	166	9088
18	168	8686
19	169	8315
20	171	7981
21	172	7680
22	174	7399
23	175	7148
24	178	6942
25	179	6732
26	181	6538
27	182	6350
28	184	6180
29	186	6022
30	187	5871
31	189	5724
32	190	5584
33	192	5472
34	194	5361
35	196	5251
36	197	5151
37	199	5050
38	200	4951
39	202	4857
40	204	4772
41	206	4706
42	208	4634
43	209	4555
44	211	4484
45	213	4419
46	214	4350
47	216	4285
48	217	4222
49	218	4159
50	220	4099
51	223	4075
52	225	4030
53	228	3997
54	229	3947
55	231	3899
56	233	3856
57	234	3813
58	236	3774
59	238	3730
60	239	3692
61	241	3654
62	242	3613
63	244	3573
64	245	3534
65	247	3498
66	249	3479
67	250	3439
68	252	3409
69	254	3375
70	255	3342
71	257	3312
72	258	3287
73	260	3256
74	261	3227
75	263	3199
76	264	3174
77	266	3151
78	268	3131
79	270	3109
80	272	3086
81	273	3065
82	275	3043
83	277	3029
84	278	3000
85	280	2982
86	281	2956
87	283	2936
88	284	2915
89	286	2894
90	287	2875
91	289	2855
92	290	2835
93	292	2818
94	294	2806
95	296	2790
96	297	2771
97	299	2752
98	300	2737
99	302	2723
100	304	2712
101	306	2694
102	308	2682
103	310	2677
104	312	2663
105	313	2647
106	315	2631
107	316	2615
108	318	2604
109	320	2592
110	322	2578
111	323	2568
112	325	2555
113	327	2544
114	329	2532
115	330	2517
116	331	2504
117	333	2492
118	334	2476
119	336	2466
120	338	2458
121	340	2447
122	340	2430
123	342	2420
124	343	2407
125	345	2397
126	347	2387
127	378	2579
128	380	2566
129	381	2553
130	382	2539
131	384	2527
132	385	2515
133	387	2505
134	389	2493
135	390	2481
136	392	2471
137	394	2461
138	395	2451
139	397	2439
140	398	2428
141	400	2418
142	404	2421
143	405	2411
144	407	2403
145	409	2392
146	410	2383
147	412	2375
148	414	2366
149	415	2356
150	417	2348
151	419	2339
152	421	2331
153	422	2322
154	424	2313
155	425	2303
156	427	2293
157	428	2284
158	430	2276
159	432	2268
160	433	2259
161	435	2251
162	437	2246
163	439	2238
164	440	2230
165	442	2222
166	443	2213
167	445	2205
168	447	2198
169	449	2195
170	451	2187
171	452	2178
172	454	2171
173	455	2163
174	457	2155
175	458	2146
176	460	2142
177	462	2134
178	463	2127
179	465	2120
180	466	2110
181	467	2102
182	469	2094
183	470	2086
184	472	2080
185	473	2072
186	475	2067
187	476	2060
188	478	2053
189	480	2046
190	481	2040
191	483	2034
192	485	2028
193	486	2021
194	488	2014
195	489	2009
196	492	2006
197	493	1999
198	495	1992
199	496	1986
200	498	1980
201	499	1973
202	501	1967
203	502	1961
204	504	1955
205	506	1951
206	508	1946
207	509	1941
208	511	1935
209	512	1929
210	514	1923
211	515	1917
212	517	1912
213	520	1910
214	521	1905
215	523	1898
216	524	1892
217	526	1887
218	527	1881
219	529	1875
220	530	1869
221	531	1863
222	533	1858
223	536	1859
224	538	1854
225	540	1849
226	541	1843
227	542	1837
228	544	1833
229	546	1828
230	547	1822
231	549	1819
232	551	1816
233	553	1812
234	555	1807
235	556	1802
236	558	1796
237	559	1791
238	560	1786
239	563	1782
240	564	1779
241	566	1773
242	567	1768
243	569	1764
244	570	1759
245	572	1753
246	573	1748
247	575	1744
248	576	1739
249	578	1736
250	580	1733
251	584	1734
252	585	1729
253	587	1725
254	589	1721
255	590	1717
256	592	1712
257	594	1709
258	595	1704
259	597	1699
260	598	1695
261	600	1690
262	601	1686
263	603	1681
264	604	1676
265	606	1673
266	608	1670
267	610	1666
268	611	1662
269	613	1657
270	614	1653
271	616	1649
272	617	1644
273	619	1640
274	620	1636
275	622	1631
276	624	1630
277	626	1626
278	627	1622
279	629	1618
280	630	1614
281	632	1610
282	634	1607
283	636	1604
284	637	1600
285	639	1596
286	641	1592
287	642	1588
288	643	1584
289	645	1580
290	646	1576
291	648	1572
292	650	1568
293	652	1565
294	654	1563
295	655	1559
296	656	1554
297	658	1551
298	660	1548
299	662	1546
300	664	1544
301	668	1544
302	669	1541
303	671	1537
304	672	1532
305	674	1528
306	675	1524
307	677	1521
308	678	1518
309	680	1513
310	681	1510
311	683	1507
312	684	1503
313	686	1498
314	687	1494
315	688	1490
316	689	1486
317	690	1481
318	692	1477
319	693	1473
320	694	1469
321	696	1466
322	697	1462
323	699	1458
324	700	1454
325	701	1450
326	702	1446
327	703	1442
328	705	1438
329	706	1434
330	708	1431
331	709	1426
332	710	1422
333	711	1418
334	712	1415
335	714	1411
336	715	1407
337	716	1402
338	717	1398
339	718	1394
340	719	1390
341	720	1387
342	722	1383
343	723	1379
344	724	1375
345	725	1371
346	727	1368
347	727	1363
348	729	1359
349	730	1356
350	731	1352
351	732	1348
352	733	1344
353	734	1340
354	735	1336
355	736	1332
356	737	1328
357	738	1324
358	739	1320
359	740	1316
360	741	1313
361	742	1309
362	743	1305
363	744	1301
364	745	1297
365	746	1293
366	747	1290
367	749	1286
368	750	1282
369	751	1278
370	752	1274
371	752	1271
372	753	1267
373	754	1263
374	755	1259
375	757	1257
376	758	1253
377	759	1250
378	760	1246
379	761	1242
380	762	1238
381	763	1235
382	764	1231
383	765	1228
384	766	1224
385	767	1220
386	768	1217
387	769	1213
388	770	1209
389	770	1205
390	771	1201
391	772	1198
392	773	1194
393	774	1191
394	775	1188
395	776	1184
396	777	1180
397	778	1177
398	779	1173
399	780	1170
400	781	1166
401	781	1162
402	782	1159
403	783	1156
404	784	1152
405	785	1149
406	786	1145
407	787	1142
408	788	1140
409	790	1136
410	790	1133
411	792	1130
412	793	1127
413	793	1123
414	794	1120
415	795	1116
416	795	1112
417	796	1109
418	797	1105
419	798	1102
420	799	1099
421	800	1096
422	801	1093
423	802	1089
424	803	1086
425	803	1083
426	804	1079
427	805	1076
428	806	1073
429	806	1069
430	807	1066
431	808	1063
432	809	1059
433	810	1056
434	810	1052
435	811	1049
436	811	1046
437	812	1042
438	813	1039
439	814	1036
440	814	1033
441	815	1029
442	816	1026
443	817	1023
444	818	1020
445	819	1017
446	819	1014
447	820	1011
448	821	1007
449	822	1004
450	822	1001
451	823	998
452	824	995
453	824	991
454	825	988
455	826	985
456	826	982
457	827	979
458	828	976
459	829	973
460	830	970
461	830	967
462	831	964
463	832	961
464	832	958
465	833	955
466	834	952
467	835	949
468	836	946
469	836	943
470	837	940
471	838	937
472	839	935
473	840	932
474	840	929
475	841	926
476	842	923
477	843	920
478	844	919
479	845	916
480	846	913
481	847	910
482	847	907
483	848	904
484	849	901
485	850	899
486	851	896
487	851	893
488	852	890
489	853	888
490	853	885
491	854	882
492	855	879
493	856	876
494	856	874
495	857	871
496	858	869
497	859	866
498	860	863
499	861	861
500	861	858
501	862	855
502	863	853
503	864	850
504	865	848
505	866	845
506	866	842
507	867	840
508	868	837
509	869	834
510	869	832
511	870	829
512	871	827
513	872	824
514	872	822
515	874	819
516	874	817
517	875	814
518	876	812
519	876	809
520	877	806
521	878	804
522	878	801
523	879	799
524	880	796
525	881	794
526	882	791
527	882	789
528	883	786
529	884	784
530	884	781
531	885	779
532	886	776
533	886	774
534	887	771
535	888	769
536	889	767
537	890	764
538	891	762
539	892	759
540	892	757
541	893	755
542	894	752
543	895	750
544	895	747
545	896	745
546	897	742
547	897	740
548	898	738
549	899	736
550	900	733
551	901	731
552	901	729
553	902	726
554	903	724
555	904	722
556	904	719
557	905	717
558	906	715
559	907	712
560	908	710
561	908	708
562	909	706
563	910	703
564	911	701
565	911	699
566	912	697
567	913	695
568	914	692
569	915	690
570	916	688
571	917	686
572	918	684
573	919	682
574	919	679
575	920	677
576	921	675
577	922	673
578	922	671
579	923	668
580	924	666
581	925	664
582	925	662
583	926	660
584	927	657
585	928	655
586	928	653
587	929	651
588	930	649
589	931	647
590	931	644
591	932	642
592	933	640
593	934	638
594	936	637
595	936	635
596	937	632
597	938	630
598	938	628
599	939	626
600	940	624
601	941	622
602	942	620
603	943	618
604	944	616
605	944	614
606	945	612
607	946	610
608	947	608
609	948	606
610	948	604
611	949	602
612	950	600
613	951	597
614	951	595
615	952	593
616	953	591
617	954	589
618	954	587
619	955	585
620	956	583
621	957	581
622	957	579
623	958	577
624	959	575
625	960	573
626	961	571
627	962	570
628	963	568
629	964	566
630	964	564
631	965	562
632	966	560
633	967	558
634	967	556
635	968	554
636	969	552
637	970	550
638	971	548
639	971	546
640	972	544
641	973	542
642	974	540
643	974	538
644	975	537
645	976	535
646	977	533
647	978	531
648	979	529
649	979	527
650	980	525
651	981	523
652	981	521
653	982	519
654	983	517
655	983	515
656	984	514
657	985	512
658	986	510
659	987	508
660	988	506
661	988	504
662	989	502
663	990	501
664	991	499
665	992	497
666	992	495
667	993	493
668	994	491
669	994	490
670	995	488
671	996	486
672	996	484
673	997	482
674	998	480
675	999	478
676	999	476
677	1000	475
678	1000	473
679	1001	471
680	1002	469
681	1002	467
682	1003	465
683	1004	464
684	1005	462
685	1006	460
686	1006	458
687	1007	456
688	1008	455
689	1009	453
690	1009	451
691	1010	449
692	1011	447
693	1011	446
694	1013	444
695	1015	443
696	1015	441
697	1016	439
698	1017	438
699	1018	436
700	1019	434
701	1019	432
702	1020	431
703	1021	429
704	1022	427
705	1022	425
706	1023	424
707	1024	422
708	1025	420
709	1025	419
710	1027	417
711	1027	415
712	1028	413
713	1029	412
714	1029	410
715	1030	408
716	1031	407
717	1032	405
718	1032	403
719	1033	401
720	1034	400
721	1034	398
722	1035	396
723	1036	395
724	1037	393
725	1037	391
726	1038	390
727	1039	388
728	1040	386
729	1040	384
730	1041	383
731	1042	381
732	1042	379
733	1043	378
734	1044	376
735	1045	374
736	1045	373
737	1046	371
738	1047	369
739	1048	368
740	1049	366
741	1049	365
742	1050	363
743	1051	361
744	1052	360
745	1053	358
746	1053	356
747	1054	355
748	1055	353
749	1056	352
750	1057	350
751	1057	348
752	1058	347
753	1059	345
754	1059	343
755	1060	342
756	1061	340
757	1062	339
758	1062	337
759	1063	335
760	1064	334
761	1065	332
762	1065	331
763	1067	329
764	1067	328
765	1068	326
766	1069	324
767	1070	323
768	1071	321
769	1071	320
770	1072	318
771	1073	316
772	1073	315
773	1074	313
774	1075	312
775	1076	310
776	1077	309
777	1077	307
778	1078	305
779	1079	304
780	1080	302
781	1081	301
782	1081	299
783	1082	298
784	1083	296
785	1084	295
786	1085	293
787	1085	292
788	1086	290
789	1087	288
790	1087	287
791	1088	285
792	1089	284
793	1089	282
794	1090	281
795	1091	279
796	1091	278
797	1092	276
798	1093	275
799	1094	273
800	1095	272
